title,url,image,date
European Federation of Journalist to Suspend Using Social Media X,https://www.waltainfo.com/european-federation-of-journalist-to-suspend-using-social-media-x/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Ambassador Mesganu Arga Confers with Japan’s Special Envoy to HoA,https://www.waltainfo.com/𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫-𝐌𝐞𝐬𝐠𝐚𝐧/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Ethiopia Makes the Best out of Conference Diplomacy,https://www.waltainfo.com/ethiopia-makes-the-best-out-of-conference-diplomacy/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
US ambassador to Kenya Resigns Following Trump’s Presidential Victory,https://www.waltainfo.com/us-ambassador-to-kenya-resigns-following-trumps-presidential-victory/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Trump Appoints Elon Musk to Lead New Agency – GOGE,https://www.waltainfo.com/trump-appoints-elon-musk-to-lead-new-agency-goge/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
We Plan to Cultivate over 24 Million Hectares This Year-PM Abiy Ahmed,https://www.waltainfo.com/we-plan-to-cultivate-over-24-million-hectares-this-year-pm-abiy-ahmed/,,
Ambassador Mesganu Arga Confers with Japan’s Special Envoy to HoA,https://www.waltainfo.com/??????????-??????/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Ethiopian Airlines Receives First African Airbus A350-1000,https://www.waltainfo.com/ethiopian-airlines-receives-first-african-airbus-a350-1000/,,
Ethiopia Condemns Terrorist Attack in Pakistan,https://www.waltainfo.com/ethiopia-condemns-terrorist-attack-in-pakistan/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Ethiopian FM Calls for Enhanced Multilateralism to Back Poverty Eradication Efforts,https://www.waltainfo.com/ethiopian-fm-calls-for-enhanced-multilateralism-to-back-poverty-eradication-efforts/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
PM Abiy Ahmed Congratulates Paul Kagame upon his Reelection,https://www.waltainfo.com/pm-abiy-ahmed-congratulates-paul-kagame-upon-his-reelection/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
DR Congo’s First Female PM Sworn in,https://www.waltainfo.com/dr-congos-first-female-pm-sworn-in/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Zambia Jails 22 Chinese Nationals for Cybercrime,https://www.waltainfo.com/zambia-jails-22-chinese-nationals-for-cybercrime/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Swiss Court Sentences ex-Gambian Minister 20 Years,https://www.waltainfo.com/swiss-court-sentences-ex-gambian-minister-20-years/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
"Russia, Sao Tome & Principe Sign Military Cooperation Agreement",https://www.waltainfo.com/russia-sao-tome-principe-sign-military-cooperation-agreement/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Leaders of World’s Biggest Polluters Aren’t Attending UN Climate Summit,https://www.waltainfo.com/leaders-of-worlds-biggest-polluters-arent-attending-un-climate-summit/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
UN SG Calls for Africa Permanent Seat at UNSC,https://www.waltainfo.com/un-sg-calls-for-africa-permanent-seat-at-unsc/,,
"USAID Launches 5-Year, $8M Tuberculosis Flagship Project",https://www.waltainfo.com/usaid-launches-5-year-8m-tuberculosis-flagship-project/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
EU Vows Continued Support for Ethiopia’s Efforts to Build Resilient Health System,https://www.waltainfo.com/eu-vows-continued-support-for-ethiopias-efforts-to-build-resilient-health-system/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
PEPFAR Announces $111M to Support Ethiopia’s Response to End HIV/AIDS,https://www.waltainfo.com/pepfar-announces-111m-to-support-ethiopias-response-to-end-hiv-aids/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
WHO Lauds Introduction of Yellow Fever Vaccine into Ethiopia’s Routine Immunization,https://www.waltainfo.com/who-lauds-introduction-of-yellow-fever-vaccine-into-ethiopias-routine-immunization/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
GAVI to Provide Cold Chain Facility to Boost Immunization Coverage in Ethiopia,https://www.waltainfo.com/gavi-to-provide-cold-chain-facility-to-boost-immunization-coverage-in-ethiopia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Safaricom Ethiopia Plans to Invest 1.5 Billion USD,https://www.waltainfo.com,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Zenith Steel Company to Invest over 150 Million USD in Ethiopia’s Industrial Park,https://www.waltainfo.com/zenith-steel-company-to-invest-over-150-million-usd-in-ethiopias-industrial-park/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
State Minister Encourages Norwegian Companies to Consider Investing in Ethiopia,https://www.waltainfo.com/state-minister-encourages-norwegian-companies-to-consider-investing-in-ethiopia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
"Minister of Finance, NBE Governor Meet with IMF Chief",https://www.waltainfo.com/minister-of-finance-nbe-governor-meet-with-imf-chief/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Export Products Generate $617M Income in Eight Months,https://www.waltainfo.com/export-products-generate-617m-income-in-eight-months/,,
The First Round Digital Financial Literacy Campaign Kicks Off in Addis,https://www.waltainfo.com/the-first-round-digital-financial-literacy-campaign-kicks-off-in-addis/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
INSA Director General Met with Russian Deputy Foreign Minister,https://www.waltainfo.com/insa-director-general-met-with-russian-deputy-foreign-minister/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Space Science and Geospatial Institute to Share High-Resolution Satellite Data Freely,https://www.waltainfo.com/space-science-and-geospatial-institute-to-share-high-resolution-satellite-data-freely/,,
ASTEWLOT Film Inaugurated in Presence of PM Abiy Ahmed,https://www.waltainfo.com/astewlot-film-inaugurated-in-presence-of-pm-abiy-ahmed/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Desta the Robot Makes Debut at Startup Ethiopia Exhibition,https://www.waltainfo.com/desta-the-robot-makes-debut-at-startup-ethiopia-exhibition/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Maintaining Original Ideals,https://www.waltainfo.com/maintaining-original-ideals/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
President Kim Il Sung and Nation Building,https://www.waltainfo.com/president-kim-il-sung-and-nation-building/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Respected Comrade Kim Jong Un Guides Consultative Meeting for Regional Development Project,https://www.waltainfo.com/respected-comrade-kim-jong-un-guides-consultative-meeting-for-regional-development-project/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Respected Comrade Kim Jong Un Takes Important Measures for Rehabilitation in Flood-hit Areas,https://www.waltainfo.com/respected-comrade-kim-jong-un-takes-important-measures-for-rehabilitation-in-flood-hit-areas/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
"22nd Emergency Enlarged Meeting of Political Bureau of Eighth C.C, WPK Held",https://www.waltainfo.com/22nd-emergency-enlarged-meeting-of-political-bureau-of-eighth-c-c-wpk-held/,,
African Union Makes Official Invitation for Peace Talks to Begin – GCS,https://www.waltainfo.com/government-accepts-aus-call-to-begin-peace-talk/,,
House Approves State of Emergency,https://www.waltainfo.com/house-approves-state-of-emergency/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
"Sudan’s Burhan Declares State of Emergency, Dissolves Government",https://www.waltainfo.com/sudans-burhan-declares-state-of-emergency-dissolves-government/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
House Re-elects Abiy Ahmed as Prime Minister,https://www.waltainfo.com/house-re-elects-abiy-ahmed-as-prime-minister-2/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Exclusive Interview with Former Peace Minister Muferihat Kamil,https://www.waltainfo.com/exclusive-interview-with-former-peace-minister-muferihat-kamil/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Exclusive Interview with Lt.-Gen. Bacha Debele on Current Affairs – (Part 1),https://www.waltainfo.com/exclusive-interview-with-lt-gen-bacha-debele-on-current-affairs-part-1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Exclusive Interview with Taye Denda – Part 2,https://www.waltainfo.com/exclusive-interview-with-taye-denda-part-2/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Exclusive Interview with Taye Denda – (Part 1),https://www.waltainfo.com/exclusive-interview-with-taye-denda-part-1/,,
Ethiopia’s Water Resources as Pillar of Development,https://www.waltainfo.com/ethiopias-water-resources-as-pillar-of-development/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Many Health Professionals have Sacrificed Life,https://www.waltainfo.com/many-health-professionals-have-sacrificed-life/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
"Mask is uncomfortable, but an Oxygen Mask is more….",https://www.waltainfo.com/mask-is-uncomfortable-but-an-oxygen-mask-is-more/,,
"“I Dream to Study Space Science” – Model, Dr. Misiker Kassahun",https://www.waltainfo.com/i-dream-to-study-space-science-model-dr-misiker-kassahun/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
What if We Don’t Want to Get Married? – Mama Africa,https://www.waltainfo.com/what-if-we-dont-want-to-get-married-mama-africa/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Paris Olympics kicks off today,https://www.waltainfo.com/paris-olympics-kicks-off-today/,,
Murray Announces Paris Olympics will be his Final Tournament,https://www.waltainfo.com/murray-announces-paris-olympics-will-be-his-final-tournament/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Spain Crowned as Euro 2024 Champions,https://www.waltainfo.com/spain-crowned-as-euro-2024-champions/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
EPL Announces 2024/25 Fixtures,https://www.waltainfo.com/epl-announces-2024-25-fixtures/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
EPL Clubs Vote in Favor of Keeping VAR in 2024/25 Season,https://www.waltainfo.com/epl-clubs-vote-in-favor-of-keeping-var-in-2024-25-season/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
Walta Media and Communication Corporate S.C. (WMCC),https://www.waltainfo.com/about-us/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",
